
static timeTest optimisation level: 0
START: real: 0.0002470000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002490000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002510000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002530000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002550000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002570000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002590000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002610000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002630000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002650000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002670000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002690000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002710000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002730000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002750000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002770000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002790000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002810000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002830000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002850000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002870000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002890000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002910000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002950000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002970000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0002990000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003010000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003030000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003050000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003070000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003330000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003360000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003380000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003400000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003420000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003450000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0003470000, user: 0.0000000000, sys: 0.0000000000
